鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉新福一路31~60號,94.91,,特定農業區,甲種建築用地,1080417,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080313,157.71,4,2,4,有,無,7600000,48190,,0.0,0,,RPTNMLKMPHOFFBG68CA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉新福一路31~60號,164.41,,特定農業區,甲種建築用地,1061022,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080313,172.3,4,2,4,有,無,7900000,45850,,0.0,0,,RPUNMLKMPHOFFBG78CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市東港路二段160巷91~120號,79.6,住,,,1080514,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670109,103.08,3,2,2,有,無,6000000,58207,,0.0,0,增建範圍：一樓空地。,RPVOMLQLPHOFFBG86CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉柴圍路61~90號,122.46,,特定農業區,甲種建築用地,1080624,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061114,256.97,4,2,5,有,無,12000000,46698,,0.0,0,,RPSOMLSKPHOFFBG66CA
宜蘭市,土地,珍子滿力段擺厘小段31~60地號,13.0,其他,,,1080705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,192816,14832,,0.0,0,包含公共設施保留地之交易。;,RPPOMLMLPHOFFBG48CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市民權新路47巷8弄121~150號,38.99,住,,,1080614,土地5建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720511,94.25,3,2,2,有,無,3000000,31830,,0.0,0,,RPQOMLPKPHOFFBG78CA
員山鄉,土地,新三泰段1291~1320地號,657.92,,鄉村區,乙種建築用地,1080612,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16319700,24805,,0.0,0,,RPTNMLNKPHOFFBG78CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉公園路70巷39弄1~30號,32.21,其他,,,1080612,土地1建物1車位0,五層,十一層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1060628,96.5,1,1,1,有,無,12480000,129326,,0.0,0,,RPUOMLQKPHOFFBG66CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉仁愛路181~210號,14.33,住,,,1080605,土地1建物1車位0,四層,二十四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1031120,81.99,1,1,1,有,無,8000000,97573,,0.0,0,,RPUNMLQKPHOFFBG56CA
宜蘭市,土地,梅洲新段331~360地號,911.98,工,,,1080614,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17103940,18755,,0.0,0,,RPWNMLQKPHOFFBG76CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉楓林一路175巷1~30號,138.46,,特定農業區,甲種建築用地,1080610,土地3建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070719,196.65,4,2,3,有,有,7500000,38139,,0.0,0,,RPPNMLLKQHOFFAG18CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉興盛北路182巷31~60號,393.44,農,,,1080409,土地2建物1車位0,全,一層,透天厝,住家用,木造,0320930,38.0,3,2,1,有,無,10710000,281842,,0.0,0,含增建或未登記建物。;,RPWNMLTLPHOFFAG07CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉自強路42巷73弄1~30號,105.0,住,,,1080615,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1011003,282.34999999999997,5,3,4,有,無,11680000,41367,,0.0,0,,RPPNMLOJQHOFFAG38CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮倉前路61~90號,4.67,商,,,1080615,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860825,56.75,0,0,1,有,有,2600000,45815,,0.0,0,,RPTOMLNLPHOFFAG88CA
蘇澳鎮,土地,慶安段181~210地號,595.93,住,,,1080606,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3700000,6209,,0.0,0,,RPVNMLTKPHOFFAG86CA
冬山鄉,土地,梅花段421~450地號,75.0,,特定農業區,農牧用地,1080628,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,771460,10286,,0.0,0,有民情風俗因素之交易。;,RPVNMLQKPHOFFAG56CA
