鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
樹林區,土地,南園段241~270地號,44.22,,特定農業區,農牧用地,1080703,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1137300,25719,,0,0,畸零地或有合併使用之交易。;,RPWOMLMLPHOFFIF17CA
樹林區,土地,南園段241~270地號,22.61,,特定農業區,農牧用地,1080703,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,581400,25714,,0,0,畸零地或有合併使用之交易。;,RPXOMLMLPHOFFIF27CA
樹林區,土地,南園段241~270地號,22.61,,特定農業區,農牧用地,1080703,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,581400,25714,,0,0,畸零地或有合併使用之交易。;,RPOPMLMLPHOFFIF09CA
樹林區,車位,新北市樹林區學府路271~300號,1.82,住,,,1080429,土地0建物0車位1,,,其他,,,,26.13,0,0,0,有,有,1330000,,坡道平面,26.13,0,,RPPPMLNLPHOFFIF66CA
樹林區,房地(土地+建物)+車位,新北市樹林區學士路91~120號,31.06,住,,,1080605,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020705,160.3,2,2,1,有,有,13050000,81410,坡道平面,45.66,0,,RPOOMLOLPHOFFIF56CA
三峽區,房地(土地+建物),新北市三峽區民生街27巷1~30號,2.93,住,,,1080618,土地2建物1車位0,九層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,850401,30.26,1,1,1,有,有,2500000,82617,,0,0,,RPPOMLOLPHOFFIF66CA
三峽區,房地(土地+建物)+車位,新北市三峽區大同路211~240號,28.86,住,,,1080618,土地2建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080530,157,3,2,2,有,有,8880000,58837,坡道平面,26.47,1200000,,RPPQMLLMPHOFFIF66CA
三峽區,房地(土地+建物),新北市三峽區大同路211~240號,30.04,住,,,1080628,土地2建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080530,135.7,3,2,2,有,有,6160000,45394,,0,0,此為地主戶。,RPQQMLLMPHOFFIF76CA
三峽區,房地(土地+建物)+車位,新北市三峽區大同路211~240號,28.86,住,,,1080618,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080530,157,3,2,2,有,有,9300000,61672,坡道平面,26.47,1250000,,RPSQMLLMPHOFFIF96CA
鶯歌區,房地(土地+建物),新北市鶯歌區中正三路282巷1~30號,67.12,,鄉村區,乙種建築用地,1080603,土地1建物1車位0,一層，二層,二層,工廠,見其他登記事項,加強磚造,,34.18,5,2,2,有,無,1757280,,,0,0,共有人間之交易。,RPQOMLLJQHOFFIF98CA
三峽區,房地(土地+建物)+車位,新北市三峽區大同路211~240號,30.15,住,,,1080618,土地2建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080530,162.17,3,2,2,有,有,10500000,68534,坡道平面,26.47,1200000,,RPWNMLMJQHOFFIF96CA
樹林區,土地,圳生段901~930地號,12.48,其他,,,1080409,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,109325,8760,,0,0,包含公共設施保留地之交易。;,RPTTMLQJQHOFFIF67CA
樹林區,房地(土地+建物)+車位,新北市樹林區學府路301~330號,23.65,住,,,1080423,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980407,173.76,4,2,2,有,有,14200000,84431,坡道機械,17.42,1000000,含增建或未登記建物。;陽台增建,RPWOMLPJQHOFFIF37CA
板橋區,房地(土地+建物),新北市板橋區南雅東路1~30號,6.14,住,,,1080608,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960809,66.42,2,2,1,有,有,9300000,140018,,0,0,,RPPNMLRKPHOFFAF68DA
板橋區,房地(土地+建物),新北市板橋區民生路二段1~30號,4.5,住,,,1080512,土地1建物1車位0,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860815,76.44,2,2,1,有,有,9760000,127682,,0,0,含增建或未登記建物。,RPRNMLRKPHOFFAF88DA
土城區,房地(土地+建物),新北市土城區中央路三段151~180號,43.85,住,,,1080602,土地2建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,661014,79.45,3,2,1,有,無,7200000,90623,,0,0,含增建或未登記建物。,RPSPMLPKPHOFFAF98DA
板橋區,房地(土地+建物),新北市板橋區新海路72巷31~60號,48.65,住,,,1080708,土地1建物1車位0,四層，五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,173.31,4,2,2,有,無,14954365,86287,,0,0,含增建或未登記建物。,RPORMLTKPHOFFAF56DA
新莊區,土地,興化段601~630地號,11.91,工,,,1080531,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2574942,216200,,0,0,向政府機關承購之案件。;,RPTNMLPKPHOFFBF98DA
新莊區,土地,興化段601~630地號,11.4,工,,,1080531,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2464680,216200,,0,0,向政府機關承購之案件。;,RPUNMLPKPHOFFBF09DA
新莊區,土地,興化段601~630地號,11.04,工,,,1080531,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2386848,216200,,0,0,向政府機關承購之案件。;,RPWNMLPKPHOFFBF66DA
新莊區,土地,興化段601~630地號,13.06,工,,,1080529,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2889917,221280,,0,0,向政府機關承購之案件。;,RPXNMLPKPHOFFBF76DA
新莊區,土地,興化段601~630地號,11.42,工,,,1080529,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2527018,221280,,0,0,向政府機關承購之案件。;,RPOOMLPKPHOFFBF58DA
新莊區,土地,興化段601~630地號,10.28,工,,,1080529,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2274758,221280,,0,0,向政府機關承購之案件。;,RPPOMLPKPHOFFBF68DA
新莊區,房地(土地+建物),新北市新莊區建福路59巷1~30號,24.83,住,,,1080625,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,731227,93.31,3,2,1,有,無,7580000,81235,,0,0,含增建或未登記建物。,RPVPMLPKPHOFFBF76DA
新莊區,房地(土地+建物),新北市新莊區昌平街82巷13弄1~30號,11.66,住,,,1080618,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830526,69.62,2,2,1,有,有,7700000,110600,,0,0,,RPOQMLPKPHOFFBF78DA
板橋區,房地(土地+建物)+車位,新北市板橋區縣民大道一段181~210號,11.66,商,,,1080412,土地2建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970808,139.06,3,2,2,有,有,22800000,163958,塔式車位,0,1500000,含增建或未登記建物。,RPVNOLLMPHOFFAF09DA
泰山區,房地(土地+建物)+車位,新北市泰山區仁義路121~150號,13.48,商,,,1080611,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950605,155.45,3,2,2,有,有,13200000,95168,坡道平面,32.51,1500000,含增建或未登記建物。,RPWPMLMKPHOFFBF56DA
新莊區,房地(土地+建物),新北市新莊區民安西路275巷1~30號,12.79,住,,,1080501,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820621,77.69,2,1,1,有,有,6700000,86240,,0,0,含增建或未登記建物。,RPPQMLMKPHOFFBF58DA
