鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鹿谷鄉,土地,新初鄉段601~630地號,2600.0,,一般農業區,農牧用地,1080405,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8580000,3300,,0.0,0,,RPPNMLMKPHOFFDM09CA
鹿谷鄉,土地,中湖段1081~1110地號,5257.06,,山坡地保育區,農牧用地,1080623,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,571,,0.0,0,本件另有一共同承買人持分各半.,RPQNMLOKPHOFFDM76CA
竹山鎮,土地,番子田段91~120地號,200.05,,山坡地保育區,農牧用地,1080614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,61463,307,,0.0,0,,RPRNMLQLPHOFFDM17CA
竹山鎮,土地,大坑段大坑小段1~30地號,1004.0,,山坡地保育區,林業用地,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,160000,159,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLKMPHOFFDM09CA
中寮鄉,土地,後寮段751~780地號,2746.0,,山坡地保育區,農牧用地,1080630,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,439360,160,,0.0,0,,RPPNMLPLPHOFFAM66DA
竹山鎮,房地(土地+建物),南投縣竹山鎮大和街271~300號,543.99,住,,,1080702,土地2建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0820730,74.42,1,1,1,有,無,9700000,130341,,0.0,0,,RPPNMLQJQHOFFDM86CA
竹山鎮,房地(土地+建物),南投縣竹山鎮大義街125巷1~30號,153.67,住,,,1080627,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070705,142.7,4,2,4,有,無,7500000,52558,,0.0,0,,RPSNMLNLPHOFFDM96CA
鹿谷鄉,房地(土地+建物),南投縣鹿谷鄉興農巷1~30號,25.46,住,,,1080621,土地1建物2車位0,二層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0850401,78.02,2,2,1,有,無,2100000,26916,,0.0,0,,RPQNMLPKPHOFFDM86CA
鹿谷鄉,土地,瑞達段721~750地號,1257.97,,特定農業區,農牧用地,1080621,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,2544,,0.0,0,本件另含未辦建物登記之房屋一棟.,RPPNMLOKPHOFFDM66CA
埔里鎮,土地,南興段61~90地號,43.75,商,,,1080701,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,68571,,0.0,0,受債權債務影響或債務抵償之交易。;,RPPOMLQKPHOFFCM86CA
草屯鎮,房地(土地+建物),南投縣草屯鎮加老南路168巷83弄1~30號,193.08,,鄉村區,乙種建築用地,1080701,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1080502,304.83,5,2,5,有,無,15580000,51110,,0.0,0,,RPTOMLOLPHOFFBM07CA
草屯鎮,房地(土地+建物),南投縣草屯鎮中山街361~390號,32.0,商,,,1080621,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0700908,83.08,2,2,2,有,無,2400000,28888,,0.0,0,,RPRNMLQKPHOFFBM86CA
南投市,房地(土地+建物),南投縣南投市南崗一路55巷61~90號,116.0,住,,,1080530,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700429,124.96,8,2,3,有,無,5000000,40013,,0.0,0,含增建或未登記建物。;,RPVNMLTLPHOFFAM57CA
中寮鄉,土地,永樂段751~780地號,5120.0,,森林區,農牧用地,1080619,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,146,,0.0,0,,RPWNMLMJQHOFFAM86CA
草屯鎮,房地(土地+建物),南投縣草屯鎮民生一街46巷1~30號,17.2,住,,,1080624,土地1建物1車位0,一層，二層，騎樓,八層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830411,102.28,1,2,1,有,有,3300000,32264,,0.0,0,,RPTNMLMKPHOFFBM66CA
中寮鄉,土地,後寮段841~870地號,6731.33,,山坡地保育區,農牧用地,1070507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1550000,230,,0.0,0,,RPQNMLPLPHOFFAM66CA
南投市,房地(土地+建物),南投縣南投市民族路61~90號,81.0,住,,,1080605,土地1建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土加強磚造,0730109,165.15,4,3,3,有,無,10200000,61762,,0.0,0,,RPPNMLTLPHOFFAM96CA
南投市,房地(土地+建物)+車位,南投縣南投市南營路811~840號,46.53,,特定農業區,甲種建築用地,1080605,土地2建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070501,140.79000000000002,3,2,2,有,有,5800000,41196,一樓平面,22.89,0,,RPTNMLPKPHOFFAM86CA
名間鄉,土地,番子寮段1381~1410地號,9335.0,,山坡地保育區,農牧用地,1080531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1190000,127,,0.0,0,,RPQNMLQKPHOFFAM66CA
