鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
永康區,房地(土地+建物),臺南市永康區中正南路349巷31~60號,871.55,工,,,1080603,土地2建物2車位0,一層,一層,工廠,工業用,鋼造,0770323,406.56,0,0,0,無,無,46800000,,,0.0,0,含增建或未登記建物。;,RPXNMLMLPHOFFKD17CA
永康區,房地(土地+建物),臺南市永康區西灣里永華路233巷1~30號,14.35,住,,,1080626,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0811130,53.54,3,2,2,有,無,2200000,41091,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLMLPHOFFKD09CA
柳營區,房地(土地+建物),臺南市柳營區育英街131巷1~30號,160.47,住,,,1080603,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1071023,172.09,4,2,4,有,無,7500000,43582,,0.0,0,,RPPNMLLMPHOFFDD28CA
東山區,房地(土地+建物),臺南市東山區三榮里3鄰許秀才31~60號,2099.0,,鄉村區,乙種建築用地,1080617,土地2建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1050822,6400.43,53,1,18,有,無,134250000,20975,,0.0,0,A.本件係屬護理之家.B.建物格局:有53房間.1廚房.11庫房.8辦公室.4茶水間.18浴室.廁所C.賣清稅費負擔由承買人負擔,RPWNMLSKPHOFFED96CA
新營區,房地(土地+建物),臺南市新營區東興路121~150號,102.87,住,,,1080618,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土構造,1080322,219.55,5,2,5,有,無,18880000,85994,,0.0,0,,RPTNMLRJQHOFFDD09CA
後壁區,土地,福安段31~60地號,2138.75,,一般農業區,農牧用地,1080703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,556075,260,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLPJQHOFFED68CA
東區,房地(土地+建物),臺南市東區崇善十六街31~60號,129.0,住,,,1080501,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1070810,333.68,5,2,6,有,無,35000000,104891,,0.0,0,,RPXNMLNJQHOFFCD98CA
鹽水區,土地,南港段391~420地號,34.6,,鄉村區,乙種建築用地,1080708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,5780,,0.0,0,,RPTNMLPKPHOFFDD88CA
六甲區,土地,水漆林段901~930地號,2122.0,,特定農業區,農牧用地,1080621,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2758600,1300,,0.0,0,,RPPNMLQKPHOFFFD78CA
六甲區,房地(土地+建物),臺南市六甲區林鳳營211~240號,91.73,,特定農業區,甲種建築用地,1080619,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,0821116,172.09,3,2,3,有,無,2800000,16271,,0.0,0,,RPQNMLQKPHOFFFD88CA
麻豆區,土地,麻安段811~840地號,22.25,住,,,1080624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,441218,19830,,0.0,0,向政府機關承購之案件。;,RPRNMLQKPHOFFFD98CA
下營區,土地,營和段931~960地號,89.73,住,,,1080705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,861408,9600,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLQKPHOFFFD78CA
下營區,土地,下營段2581~2610地號,2765.0,,特定農業區,農牧用地,1080704,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5530000,2000,,0.0,0,,RPTOMLQKPHOFFFD66CA
六甲區,土地,民權段931~960地號,31.34,住,,,1080708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,568200,18130,,0.0,0,,RPSNMLPKPHOFFFD98CA
官田區,土地,新官田段331~360地號,1278.55,農,,,1080621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,1955,,0.0,0,,RPQNMLRKPHOFFFD98CA
麻豆區,房地(土地+建物),臺南市麻豆區興農里和平路31~60號,104.59,住,,,1080614,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1080123,210.12,4,2,4,有,無,11800000,56158,,0.0,0,,RPOOMLTKPHOFFFD09CA
官田區,土地,南段361~390地號,3905.24,,特定農業區,丁種建築用地,1080513,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,53160000,13612,,0.0,0,,RPTNMLSKPHOFFFD76CA
西港區,土地,檨林段661~690地號,38.99,,鄉村區,乙種建築用地,1080705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,2565,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLQKPHOFFGD86CA
麻豆區,房地(土地+建物),臺南市麻豆區大埕里31~60號,118.12,住,,,1080425,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1080304,209.79,5,2,4,有,無,11600000,55293,,0.0,0,,RPQNMLLKQHOFFFD48CA
麻豆區,房地(土地+建物),臺南市麻豆區大埕里31~60號,103.42,住,,,1080425,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1080304,209.78,5,2,4,有,無,11800000,56249,,0.0,0,,RPRNMLLKQHOFFFD58CA
麻豆區,房地(土地+建物),臺南市麻豆區大埕里大埕31~60號,100.24,住,,,1080506,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1080304,203.67,5,2,4,有,無,12000000,58919,,0.0,0,,RPSNMLLKQHOFFFD68CA
麻豆區,房地(土地+建物),臺南市麻豆區大埕里31~60號,92.78,住,,,1080425,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1080304,187.5,5,2,4,有,無,9360000,49920,,0.0,0,,RPTNMLLKQHOFFFD78CA
麻豆區,房地(土地+建物),臺南市麻豆區龍泉里1鄰溝子墘1~30號,86.06,住,,,1080610,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,0820915,167.37,4,2,3,有,無,4600000,27484,,0.0,0,,RPTNMLQLPHOFFFD66CA
麻豆區,土地,溝子墘段1~30地號,2372.0,,特定農業區,農牧用地,1080605,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,8432,,0.0,0,,RPQNMLRJQHOFFFD98CA
官田區,土地,社子段1~30地號,2051.0,農,,,1080418,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4100000,1999,,0.0,0,,RPTNMLSJQHOFFFD76CA
西港區,土地,營段781~810地號,123.39,,鄉村區,乙種建築用地,1080617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,10536,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLTKPHOFFGD56CA
學甲區,土地,東興段991~1020地號,365.42,住,,,1080603,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5200000,14230,,0.0,0,,RPSNMLTKPHOFFGD86CA
學甲區,土地,中洲段391~420地號,3837.0,,特定農業區,農牧用地,1080705,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2550000,665,,0.0,0,,RPWOMLTLPHOFFGD47CA
學甲區,房地(土地+建物),臺南市學甲區公?路1~30號,98.0,住,,,1080607,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1071221,164.89,5,2,4,有,無,5860000,35539,,0.0,0,,RPRNMLPJQHOFFGD98CA
學甲區,房地(土地+建物),臺南市學甲區寶發路260巷1~30號,114.12,住,,,1080327,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,1071221,190.42,5,3,5,有,無,6520000,34240,,0.0,0,,RPPNMLOJQHOFFGD68CA
善化區,土地,善中段1561~1590地號,423.87,住,,,1080702,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17624966,41581,,0.0,0,,RPSNMLQKPHOFFHD66CA
善化區,房地(土地+建物),臺南市善化區龍目井路61~90號,22.47,住,,,1080609,土地2建物1車位0,二層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土構造,1060111,84.49,2,1,2,有,有,3580000,42372,,0.0,0,,RPRPMLRKPHOFFHD86CA
新化區,土地,頂山腳段2011~2040地號,1646.0,,特定農業區,農牧用地,1080614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,4557,,0.0,0,,RPPNMLTKPHOFFHD66CA
安定區,土地,港子尾段1~30地號,2197.19,其他,,,1080703,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12084554,5500,,0.0,0,協議價購,RPVNMLRKPHOFFHD07CA
新市區,土地,看西段931~960地號,1996.0,其他,,,1080703,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10978000,5500,,0.0,0,協議價購,RPWNMLRKPHOFFHD17CA
善化區,土地,善中段961~990地號,131.52,住,,,1080531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5971100,45401,,0.0,0,向政府機關承購之案件。;,RPUNMLQKPHOFFHD86CA
左鎮區,土地,草山段31~60地號,2338.0,,森林區,農牧用地,1080708,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1040000,445,,0.0,0,,RPROMLQKPHOFFHD66CA
新市區,房地(土地+建物)+車位,臺南市新巿區仁愛街61~90號,23.52,住,,,1080702,土地3建物2車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0830806,141.41,3,2,2,有,有,4000000,28285,坡道平面,0.0,0,,RPUOMLQKPHOFFHD96CA
左鎮區,土地,左鎮段541~570地號,97.0,,鄉村區,乙種建築用地,1080627,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,725000,7474,,0.0,0,,RPOPMLQKPHOFFHD09CA
新市區,土地,番子寮段601~630地號,130.0,,鄉村區,乙種建築用地,1080624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,36923,,0.0,0,,RPQNMLNLPHOFFHD88CA
善化區,房地(土地+建物),臺南市善化區永安路31~60號,66.13,住,,,1080530,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0711227,98.21,3,2,2,有,無,6800000,69239,,0.0,0,含增建或未登記建物。;,RPUNMLPLPHOFFHD86CA
新化區,房地(土地+建物),臺南市新化區金華街一段1~30號,43.7,,特定專用區,甲種建築用地,1080602,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0860825,140.08,3,2,2,有,有,4300000,30697,,0.0,0,,RPXNMLNLPHOFFHD96CA
安定區,土地,港子尾段871~900地號,2400.0,農,,,1080702,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7920000,3300,,0.0,0,,RPXNMLPLPHOFFHD17CA
新市區,房地(土地+建物),臺南市新巿區陽光大道61~90號,18.13,其他,,,1040925,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,1080227,67.04,2,0,2,有,有,3500000,52208,,0.0,0,由115戶共用9個車位,RPTPMLTLPHOFFHD37CA
新市區,房地(土地+建物),臺南市新巿區陽光大道61~90號,18.13,其他,,,1041009,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,1080227,67.04,2,0,2,有,有,3500000,52208,,0.0,0,由115戶共用9個車位,RPUPMLTLPHOFFHD47CA
新市區,房地(土地+建物),臺南市新巿區陽光大道61~90號,18.13,其他,,,1071006,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,1080227,67.04,2,0,2,有,有,3530000,52655,,0.0,0,由115戶共用9個車位,RPVPMLTLPHOFFHD57CA
新市區,房地(土地+建物),臺南市新巿區陽光大道61~90號,18.13,其他,,,1040606,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,1080227,66.24000000000001,2,0,2,有,有,3500000,52838,,0.0,0,由115戶共用9個車位,RPOOMLKMPHOFFHD58CA
安平區,房地(土地+建物)+車位,臺南市安平區健康路三段301~330號,12.1,商,,,1080613,土地1建物1車位1,十四層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060124,160.7,3,2,2,有,有,7350000,52346,坡道平面,33.65,700000,,RPPOMLQKPHOFFAD38CA
安平區,房地(土地+建物)+車位,臺南市安平區健康路三段331~360號,11.84,商,,,1080621,土地1建物1車位1,三層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060124,155.2,3,2,2,有,有,7720000,54280,坡道平面,30.66,960000,,RPROMLQKPHOFFAD58CA
安平區,房地(土地+建物)+車位,臺南市安平區健康路三段301~330號,11.48,商,,,1080620,土地1建物1車位1,十九層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1051109,158.85000000000002,3,2,2,有,有,7560000,51985,坡道平面,31.89,960000,,RPSOMLQKPHOFFAD68CA
安平區,房地(土地+建物)+車位,臺南市安平區健康路三段301~330號,11.68,商,,,1080617,土地1建物1車位1,二層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1051109,161.3,3,2,2,有,有,7780000,52701,坡道平面,31.89,960000,,RPVOMLQKPHOFFAD98CA
北區,房地(土地+建物),臺南市北區開元路481~510號,5.75,商,,,1080529,土地3建物1車位0,七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1041105,81.61,2,1,1,有,有,4400000,53915,,0.0,0,,RPVNMLPKPHOFFAD78CA
安平區,房地(土地+建物)+車位,臺南市安平區慶平路181~210號,10.13,商,,,1080612,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841024,128.72,2,2,2,有,有,4200000,32626,坡道機械,0.0,0,,RPWOMLPKPHOFFAD98CA
安平區,房地(土地+建物)+車位,臺南市安平區文平路181~210號,17.67,商,,,1080501,土地1建物1車位2,十七層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960815,241.4,4,2,2,有,無,16200000,67109,坡道平面,0.0,0,,RPPPMLTKPHOFFAD78CA
北區,房地(土地+建物)+車位,臺南市北區中華北路二段91~120號,59.81,住,,,1040816,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080422,366.0,3,2,2,有,有,24770000,67678,坡道平面,66.2,0,權利人共2人交易日期為預售屋簽約之日期。,RPXPMLTKPHOFFAD96CA
北區,房地(土地+建物)+車位,臺南市北區中華北路二段91~120號,59.81,住,,,1070119,土地1建物1車位2,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080422,366.0,3,2,2,有,有,25730000,70301,坡道平面,66.2,0,交易日期為預售屋簽約之日期。,RPOQMLTKPHOFFAD78CA
北區,房地(土地+建物),臺南市北區育德路199巷91~120號,99.37,住,,,1080628,土地3建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,0931119,244.52,4,2,3,有,無,17550000,71773,,0.0,0,,RPQNMLMLPHOFFAD08CA
北區,房地(土地+建物),臺南市北區忠義路三段61~90號,19.71,商,,,1080604,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080121,102.41999999999999,2,2,2,有,有,7000000,68346,,0.0,0,,RPPPMLNLPHOFFAD28CA
中西區,房地(土地+建物),臺南市中西區西賢一街159巷31~60號,116.07,住,,,1080614,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1001110,316.16,5,2,5,有,無,24500000,77492,,0.0,0,,RPQOMLNLPHOFFAD28CA
北區,房地(土地+建物),臺南市北區開元路485巷41弄1~30號,3.19,商,,,1080601,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0891120,33.11,1,1,1,有,有,1680000,50740,,0.0,0,陽台外推,RPQNMLLMPHOFFAD08CA
安南區,土地,青砂段421~450地號,328.19,農,,,1080508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,6094,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLPKPHOFFBD78CA
安平區,房地(土地+建物),臺南市安平區建平八街416巷6弄1~30號,95.0,住,,,1080604,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0760806,128.43,4,2,3,有,無,9000000,70077,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLRJQHOFFAD58CA
安南區,房地(土地+建物),臺南市安南區環福街35巷1~30號,116.0,住,,,1080614,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土構造,0771015,144.05,3,2,4,有,無,6600000,45817,,0.0,0,,RPTOMLMLPHOFFBD58CA
安南區,土地,海南段541~570地號,223.45,農,,,1080528,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,878670,3932,,0.0,0,畸零地或有合併使用之交易。;,RPPNMLQKPHOFFBD38CA
安南區,房地(土地+建物),臺南市安南區鹽田路329巷2弄1~30號,73.76,住,,,1080514,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,0951003,140.43,5,2,4,有,無,6350000,45218,,0.0,0,,RPWOMLQKPHOFFBD56CA
安南區,房地(土地+建物),臺南市安南區北安路三段752巷22弄31~60號,99.32,住,,,1080428,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,0990115,187.14,5,2,3,有,無,11200000,59848,,0.0,0,,RPPNMLRKPHOFFBD48CA
