鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鹿草鄉,土地,龜佛山段61~90地號,517.0,,鄉村區,乙種建築用地,1080708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1610600,3115,,0.0,0,向政府機關承購之案件。;,RPPNMLPKPHOFFDQ27DA
鹿草鄉,土地,後麻段1171~1200地號,539.62,,特定農業區,農牧用地,1080708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1241126,2300,,0.0,0,向政府機關承購之案件。;,RPQNMLQKPHOFFDQ47DA
大林鎮,土地,排子路段排子路小段1201~1230地號,2289.0,,特定農業區,農牧用地,1080703,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,1442,,0.0,0,,RPPOMLMKPHOFFCQ07EA
大林鎮,房地(土地+建物),嘉義縣大林鎮平林里信義街72巷1~30號,53.75,住,,,1080625,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851115,98.63,3,1,2,有,無,2500000,25347,,0.0,0,,RPRNMLTKPHOFFCQ87EA
番路鄉,土地,轆子腳段121~150地號,823.0,,一般農業區,農牧用地,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,2430,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPQNMLMLPHOFFEQ17CA
梅山鄉,土地,大草埔段571~600地號,4268.0,,一般農業區,農牧用地,1080609,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,515,,0.0,0,,RPWNMLQKPHOFFEQ08CA
梅山鄉,房地(土地+建物),嘉義縣梅山鄉南興街1~30號,121.37,住,,,1080525,土地4建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土加強磚造,0701015,188.54,4,2,2,有,無,3500000,18564,,0.0,0,,RPQNMLRKPHOFFEQ57CA
水上鄉,土地,南靖段南和小段361~390地號,240.11,,鄉村區,乙種建築用地,1080703,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,3124,,0.0,0,含未登記建物。,RPUNMLPKPHOFFDQ67CA
中埔鄉,房地(土地+建物),嘉義縣中埔鄉和興村武德街61巷1~30號,90.46,住,,,1080616,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0700402,94.62,3,2,2,有,無,4500000,47559,,0.0,0,,RPSNMLQKPHOFFDQ57CA
太保市,房地(土地+建物),嘉義縣太保市太保里太保91~120號,104.75,農,,,1080624,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0931115,160.62,3,2,3,有,無,5500000,34242,,0.0,0,,RPQNMLSKPHOFFDQ57CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉北斗村光明一街301~330號,75.0,住,,,1080618,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0861218,155.84,6,3,2,有,無,5200000,33368,,0.0,0,,RPPNMLRLPHOFFCQ37CA
民雄鄉,土地,松子腳段241~270地號,263.5,,鄉村區,乙種建築用地,1080618,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2391000,9074,,0.0,0,,RPXNMLRLPHOFFCQ18CA
大林鎮,房地(土地+建物),嘉義縣大林鎮大美里互助社區13巷1~30號,66.35,,鄉村區,乙種建築用地,1080618,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0710622,98.17,2,2,3,有,無,3800000,38708,,0.0,0,含增建或未登記建物。;,RPVOMLLMPHOFFCQ57CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉頂崙村崙子頂91~120號,10.84,住,,,1080623,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840228,40.02,1,0,1,有,有,900000,22489,,0.0,0,,RPQNMLQJQHOFFCQ27CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉松山村立全新村181~210號,78.0,住,,,1080706,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0720915,80.12,3,2,3,有,無,2800000,34948,,0.0,0,,RPQOMLMLPHOFFCQ07CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉?福村11鄰?福61~90號,14.08,住,,,1080628,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0960623,28.18,3,1,2,有,無,820000,29099,,0.0,0,,RPQNMLNLPHOFFCQ07CA
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉福興村牛稠溪571~600號,107.87,,鄉村區,乙種建築用地,1080605,土地2建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0800607,221.04,4,3,3,有,有,5400000,24430,坡道平面,0.0,0,,RPRNMLPKPHOFFCQ27CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉三興村裕農路181~210號,293.57,住,,,1080521,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960611,651.08,18,0,20,有,無,26324216,40432,,0.0,0,土地增值稅，印花稅等一切過戶費用均由買方負擔,RPSNMLPKPHOFFCQ37CA
朴子市,房地(土地+建物),嘉義縣朴子市小?i榔二路8巷1~30號,137.78,住,,,1051213,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1071023,301.21999999999997,3,2,4,有,有,16200000,53781,,0.0,0,"預售屋案件,地政士僅受託買賣案件申請登記並未代理撰擬不動產買賣契約書",RPQNMLLMPHOFFBQ86CA
大林鎮,土地,平林段631~660地號,26.0,住,,,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,21154,,0.0,0,,RPUNMLRKPHOFFCQ77CA
東石鄉,房地(土地+建物),嘉義縣東石鄉港墘31~60號,155.31,,鄉村區,乙種建築用地,1080419,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080311,163.94,3,2,3,有,無,7000000,42699,,0.0,0,,RPQNMLRKPHOFFBQ27CA
東石鄉,土地,圍子內段1~30地號,5151.4,,一般農業區,農牧用地,1080704,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2072500,402,,0.0,0,,RPPNMLQKPHOFFBQ07CA
義竹鄉,土地,新店段1081~1110地號,4963.0,,特定專用區,養殖用地,1080627,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2046740,412,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLQKPHOFFBQ47CA
義竹鄉,土地,新店段1081~1110地號,2552.0,,特定專用區,養殖用地,1080627,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1052444,412,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLQKPHOFFBQ57CA
民雄鄉,土地,新庄段1711~1740地號,176.77,農,,,1080628,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1016000,5748,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLPLPHOFFCQ27CA
溪口鄉,土地,崙尾段美南小段751~780地號,1989.0,,特定農業區,農牧用地,1080703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,553,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLSKPHOFFCQ57CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉松山村松子腳31~60號,71.0,,鄉村區,乙種建築用地,1080625,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0820419,197.98,4,2,3,有,無,2650000,13385,,0.0,0,,RPPNMLKLPHOFFCQ66CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉埤角91~120號,116.29,住,,,1080625,土地2建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住商用,鋼筋混凝土加強磚造,0671026,76.0,2,1,1,有,無,9500000,125000,,0.0,0,含增建或未登記建物。;,RPRNMLQLPHOFFCQ47CA
水上鄉,土地,忠和段361~390地號,513.71,,鄉村區,乙種建築用地,1080626,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,7786,,0.0,0,,RPXNMLTKPHOFFDQ38CA
太保市,房地(土地+建物),嘉義縣太保市東勢里健康路211~240號,172.27,住,,,1080618,土地5建物4車位0,一層，二層，三層，四層,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0950718,346.77,4,2,3,有,有,12700000,36624,,0.0,0,,RPOOMLTLPHOFFDQ67CA
中埔鄉,土地,金蘭段451~480地號,22.44,,特定農業區,甲種建築用地,1080628,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,169700,7562,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLTKPHOFFDQ77CA
太保市,房地(土地+建物),嘉義縣太保市過溝里六合街21巷1~30號,134.12,住,,,1080615,土地4建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050301,184.58,6,2,2,有,無,6550000,35486,,0.0,0,,RPVNMLQLPHOFFDQ97CA
竹崎鄉,土地,番子潭段241~270地號,1248.0,,一般農業區,農牧用地,1080603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2050000,1643,,0.0,0,,RPVNMLRKPHOFFEQ08CA
竹崎鄉,土地,樟樹坪段181~210地號,879.33,,山坡地保育區,丙種建築用地,1080322,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,698000,794,,0.0,0,地清標售,RPQNMLSKPHOFFEQ67CA
梅山鄉,土地,梅東段631~660地號,71.0,住,,,1080529,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,16901,,0.0,0,含未保存登記建物。,RPRNMLSKPHOFFEQ77CA
竹崎鄉,房地(土地+建物),嘉義縣竹崎鄉中正路68巷1~30號,110.78,住,,,1080501,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0801129,188.31,4,2,2,有,無,2200000,11683,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLSKPHOFFEQ87CA
番路鄉,土地,公田段31~60地號,207.43,,森林區,農牧用地,1080612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1607000,7747,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLQKPHOFFEQ67CA
太保市,房地(土地+建物),嘉義縣太保市過溝里麻太路123巷1~30號,81.78,住,,,1080529,土地3建物2車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0880208,828.3499999999999,4,3,3,有,無,4600000,5553,,0.0,0,,RPROMLTJQHOFFDQ87CA
番路鄉,土地,轆子腳段91~120地號,230.9,住,,,1080702,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,698472,3025,,0.0,0,,RPPNMLMLPHOFFEQ07CA
鹿草鄉,土地,松山段421~450地號,619.92,,鄉村區,乙種建築用地,1080708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,3388,,0.0,0,向政府機關承購之案件。;,RPPNMLRKPHOFFDQ47DA
大林鎮,房地(土地+建物),嘉義縣大林鎮平林里信義街61~90號,60.13,住,,,1080625,土地7建物1車位0,五層,五層,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0820217,116.41,3,1,2,有,無,2100000,18040,,0.0,0,,RPSNMLTKPHOFFCQ97EA
